x,y,z
151.7192321,871.0621269,0.337254902
539.4135211,527.0497025,0.247058824
433.641155,320.9237357,0.788235294
307.4592482,956.5988987,0.376470588
541.0265295,693.7090568,0.752941176
687.4982146,686.163081,0.678431373
221.4819038,504.0921713,0.443137255
257.6067443,392.9484238,0.411764706
138.7409517,784.709462,0.752941176
244.7400332,711.4728505,0.654901961
307.4701328,898.9502587,0.788235294
253.8139848,130.8184896,0.647058824
428.1039693,736.3275174,0.631372549
424.9495485,939.5017785,0.423529412
518.9904822,335.8545928,0.670588235
242.2760537,726.4591841,0.729411765
497.3861582,541.4287832,0.494117647
501.4727484,560.6814026,0.584313725
208.3156628,883.8781218,0.447058824
477.9148063,848.289663,0.749019608
384.7335351,656.7597982,0.345098039
582.1446632,445.7789181,0.647058824
535.7487375,441.5335192,0.517647059
159.6882445,799.1016652,0.756862745
431.3115637,62.53308791,0.68627451
664.0124195,758.2548978,0.717647059
386.4504804,572.9856713,0.431372549
265.6275057,607.8134324,0.470588235
132.9755864,848.8077332,0.321568627
300.4925982,475.2862278,0.533333333
556.4832062,521.3473594,0.364705882
189.6254956,452.8731821,0.290196078
215.1461308,445.593982,0.356862745
467.7226357,452.3416917,0.494117647
369.9834136,821.6897949,0.68627451
357.4091631,357.3162247,0.788235294
251.3980137,585.6371565,0.443137255
247.1341119,173.48916,0.623529412
385.93174,279.2605212,0.749019608
503.6357455,836.9365627,0.796078431
120.8101329,621.5032666,0.607843137
316.9162978,829.9932588,0.796078431
379.4009379,674.2753887,0.525490196
466.7901771,551.4284593,0.356862745
139.4474684,743.5050827,0.639215686
527.2915624,511.5841597,0.352941176
177.2244127,402.5856206,0.490196078
433.6106837,635.8696436,0.368627451
106.1119799,773.4204184,0.698039216
485.2082456,522.6422945,0.384313725
586.4092201,913.8781146,0.258823529
579.3641276,563.927565,0.631372549
278.4759858,566.7419708,0.501960784
527.3551731,302.6433036,0.705882353
674.9463455,745.4902641,0.705882353
206.6091865,808.871372,0.807843137
240.5753547,468.1383407,0.309803922
639.1127165,654.7366088,0.670588235
584.7048185,588.0535562,0.670588235
332.1164895,585.4233069,0.466666667
264.844952,267.6421837,0.48627451
326.9172354,794.2993227,0.788235294
572.691879,313.2597319,0.388235294
136.6200704,525.2651853,0.345098039
153.8891594,346.9105354,0.741176471
313.2361287,352.3300457,0.588235294
383.9492448,677.6708007,0.494117647
230.9129717,187.2683177,0.576470588
349.5558869,329.605506,0.749019608
257.5886494,209.9755664,0.533333333
670.6821255,603.5969687,0.584313725
60.07193776,660.7777156,0.619607843
604.5276541,344.2763023,0.462745098
282.6662291,522.9067982,0.454901961
391.5254964,266.9696918,0.835294118
612.4437393,793.1720532,0.752941176
537.7405849,834.9413329,0.662745098
205.7055882,271.23165,0.682352941
366.8089564,378.2287301,0.62745098
412.8787697,641.9111876,0.305882353
194.6978372,741.8116354,0.788235294
358.4222511,855.23166,0.819607843
583.6742028,910.5900118,0.184313725
597.854849,876.89212,0.329411765
295.0166976,612.7744421,0.556862745
670.3292273,638.4776894,0.635294118
656.6271508,771.1181234,0.717647059
368.2152195,781.4430271,0.835294118
257.5267515,462.4263713,0.415686275
185.373256,704.2975002,0.745098039
164.3819649,441.2085245,0.356862745
350.2985404,316.0442469,0.588235294
180.7583434,409.1810747,0.48627451
618.3235939,848.2700833,0.71372549
341.3774546,947.9817322,0.392156863
283.6889539,416.1654493,0.525490196
389.3043281,422.800574,0.337254902
220.9224546,473.9133372,0.415686275
214.6534189,649.6478098,0.666666667
248.4392317,680.5716027,0.68627451
315.5508625,571.73367,0.439215686
518.6017449,450.4239501,0.505882353
496.2522566,160.4309481,0.8
554.1039037,489.3552093,0.329411765
109.1892658,823.4003756,0.282352941
105.8575668,777.61283,0.690196078
463.1763434,741.6928683,0.831372549
241.9832839,770.6863479,0.752941176
155.0430694,574.7750009,0.541176471
514.714671,188.143671,0.776470588
300.3230372,648.0247491,0.517647059
260.890111,383.4881023,0.435294118
547.40328,360.0596002,0.4
151.3511526,438.7016287,0.478431373
445.3680304,935.8336839,0.596078431
413.439071,343.8892982,0.803921569
267.6238709,438.7511411,0.439215686
122.8092607,802.6637717,0.68627451
604.0354643,603.76808,0.690196078
650.7253469,723.461596,0.737254902
151.038038,678.5345211,0.682352941
184.8102567,516.1632032,0.42745098
638.7514015,680.7708514,0.701960784
158.5654315,552.7516396,0.466666667
338.3467893,292.8928173,0.329411765
157.4827204,625.8240828,0.611764706
399.9441835,614.0572382,0.447058824
524.388399,682.5287144,0.62745098
543.5040227,919.2588056,0.658823529
386.5803945,662.3300179,0.388235294
439.6698753,676.6514169,0.592156863
214.0707819,582.4007307,0.51372549
323.8827845,557.0367343,0.470588235
542.1068524,664.1620917,0.721568627
227.6393118,894.7099403,0.760784314
609.0303828,625.5149882,0.698039216
206.1135553,459.5694706,0.431372549
706.2659648,697.0693022,0.650980392
370.9019928,619.6629442,0.431372549
218.556239,469.1032526,0.37254902
331.1028094,472.1959856,0.48627451
222.7553211,459.8503643,0.376470588
455.4709726,267.6360518,0.529411765
553.9279965,315.9058013,0.647058824
718.8065471,738.9143011,0.682352941
546.983252,804.8951326,0.752941176
428.1270036,457.7033714,0.662745098
204.2695043,714.5664042,0.733333333
480.7006941,291.4244722,0.580392157
287.098715,177.7576155,0.654901961
275.7029763,792.0232745,0.811764706
485.1176991,703.2277593,0.776470588
413.5393875,559.3849662,0.631372549
333.3200501,668.7355503,0.537254902
261.6941712,411.0986465,0.415686275
443.0999207,770.2636425,0.854901961
316.4663106,957.8545115,0.37254902
